match_id,timestamp,home_team_id,away_team_id,home_score_total,away_score_total,home_sets_won,away_sets_won,score_diff,set_diff,home_current_score,away_current_score,set_info,game_duration,match_status,home_win_rate_last5,away_win_rate_last5,head_to_head_win_rate_home
208039,2025-05-15 13:08:14.705430,2164,237086,55,45,2,0,10,2,3,0,Set 1: 27-25 | Set 2: 25-20 | Set 3: 3-0,150m 0s,3rd set,0.8,0.2,1.0
208039,2025-05-15 13:09:15.902296,2164,237086,56,45,2,0,11,2,4,0,Set 1: 27-25 | Set 2: 25-20 | Set 3: 4-0,150m 0s,3rd set,0.8,0.2,1.0
208039,2025-05-15 13:11:22.323353,2164,237086,56,47,2,0,9,2,4,2,Set 1: 27-25 | Set 2: 25-20 | Set 3: 4-2,150m 0s,3rd set,0.8,0.2,1.0
208039,2025-05-15 13:12:23.428298,2164,237086,57,47,2,0,10,2,5,2,Set 1: 27-25 | Set 2: 25-20 | Set 3: 5-2,150m 0s,3rd set,0.8,0.2,1.0
208039,2025-05-15 13:13:25.564897,2164,237086,59,48,2,0,11,2,7,3,Set 1: 27-25 | Set 2: 25-20 | Set 3: 7-3,150m 0s,3rd set,0.8,0.2,1.0
208039,2025-05-15 13:14:27.272985,2164,237086,62,48,2,0,14,2,10,3,Set 1: 27-25 | Set 2: 25-20 | Set 3: 10-3,150m 0s,3rd set,0.8,0.2,1.0
198935,2025-06-04 09:37:25.728838,2384,2605,29,34,0,1,-5,-1,7,9,Set 1: 22-25 | Set 2: 7-9,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:40:03.035193,2384,2605,30,39,0,1,-9,-1,8,14,Set 1: 22-25 | Set 2: 8-14,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:41:27.685872,2384,2605,31,39,0,1,-8,-1,9,14,Set 1: 22-25 | Set 2: 9-14,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:41:53.919369,2384,2605,31,40,0,1,-9,-1,9,15,Set 1: 22-25 | Set 2: 9-15,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:42:30.986284,2384,2605,32,40,0,1,-8,-1,10,15,Set 1: 22-25 | Set 2: 10-15,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:42:56.781319,2384,2605,33,40,0,1,-7,-1,11,15,Set 1: 22-25 | Set 2: 11-15,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:43:33.667918,2384,2605,34,40,0,1,-6,-1,12,15,Set 1: 22-25 | Set 2: 12-15,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:45:50.648728,2384,2605,34,42,0,1,-8,-1,12,17,Set 1: 22-25 | Set 2: 12-17,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:46:35.670451,2384,2605,35,42,0,1,-7,-1,13,17,Set 1: 22-25 | Set 2: 13-17,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:47:01.533882,2384,2605,36,42,0,1,-6,-1,14,17,Set 1: 22-25 | Set 2: 14-17,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:47:32.961603,2384,2605,37,42,0,1,-5,-1,15,17,Set 1: 22-25 | Set 2: 15-17,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:48:04.442549,2384,2605,38,42,0,1,-4,-1,16,17,Set 1: 22-25 | Set 2: 16-17,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:49:12.319823,2384,2605,38,43,0,1,-5,-1,16,18,Set 1: 22-25 | Set 2: 16-18,150m 0s,2nd set,0.6,0.8,0.21428571428571427
